# Title: Evolution of incidents and hazards
# yLabel: Number of incidents and hazards
# Footer: An AI incident or hazard can be reported by one or more news articles covering the same event. Data processing powered by Microsoft Azure using data from Event Registry.

Date,Total Incidents & Hazards,6-month moving average
2020-12,10,10
2021-01,47,28.5
2021-02,36,31
2021-03,34,31.75
2021-04,43,34
2021-05,45,35.833333333333336
2021-06,34,39.833333333333336
2021-07,35,37.833333333333336
2021-08,50,40.166666666666664
2021-09,63,45
2021-10,47,45.666666666666664
2021-11,41,45
2021-12,47,47.166666666666664
2022-01,41,48.166666666666664
2022-02,26,44.166666666666664
2022-03,36,39.666666666666664
2022-04,23,35.666666666666664
2022-05,39,35.333333333333336
2022-06,40,34.166666666666664
2022-07,36,33.333333333333336
2022-08,45,36.5
2022-09,36,36.5
2022-10,47,40.5
2022-11,42,41
2022-12,38,40.666666666666664
2023-01,48,42.666666666666664
2023-02,53,44
2023-03,87,52.5
2023-04,71,56.5
2023-05,65,60.333333333333336
2023-06,69,65.5
2023-07,77,70.33333333333333
2023-08,58,71.16666666666667
2023-09,64,67.33333333333333
2023-10,69,67
2023-11,71,68
2023-12,59,66.33333333333333
2024-01,103,70.66666666666667
2024-02,81,74.5
2024-03,80,77.16666666666667
2024-04,95,81.5
2024-05,107,87.5
2024-06,95,93.5
2024-07,73,88.5
2024-08,65,85.83333333333333
2024-09,67,83.66666666666667
2024-10,95,83.66666666666667
2024-11,81,79.33333333333333
2024-12,84,77.5
2025-01,111,83.83333333333333
2025-02,141,96.5
2025-03,98,101.66666666666667
2025-04,100,102.5
2025-05,124,109.66666666666667
2025-06,108,113.66666666666667
2025-07,133,117.33333333333333
2025-08,99,110.33333333333333
2025-09,146,118.33333333333333
2025-10,184,132.33333333333334
2025-11,148,136.33333333333334
2025-12,113,137.16666666666666
