# Title: Evolution of incidents and hazards
# yLabel: Number of incidents and hazards
# Footer: An AI incident or hazard can be reported by one or more news articles covering the same event. Data processing powered by Microsoft Azure using data from Event Registry.

Date,Total Incidents & Hazards,6-month moving average
2020-12,14,14
2021-01,39,26.5
2021-02,33,28.666666666666668
2021-03,51,34.25
2021-04,44,36.2
2021-05,47,38
2021-06,52,44.333333333333336
2021-07,187,69
2021-08,89,78.33333333333333
2021-09,80,83.16666666666667
2021-10,96,91.83333333333333
2021-11,83,97.83333333333333
2021-12,73,101.33333333333333
2022-01,62,80.5
2022-02,53,74.5
2022-03,46,68.83333333333333
2022-04,49,61
2022-05,53,56
2022-06,53,52.666666666666664
2022-07,69,53.833333333333336
2022-08,70,56.666666666666664
2022-09,55,58.166666666666664
2022-10,59,59.833333333333336
2022-11,40,57.666666666666664
2022-12,49,57
2023-01,73,57.666666666666664
2023-02,65,56.833333333333336
2023-03,98,64
2023-04,80,67.5
2023-05,125,81.66666666666667
2023-06,98,89.83333333333333
2023-07,82,91.33333333333333
2023-08,117,100
2023-09,111,102.16666666666667
2023-10,129,110.33333333333333
2023-11,149,114.33333333333333
2023-12,105,115.5
2024-01,174,130.83333333333334
2024-02,160,138
2024-03,167,147.33333333333334
2024-04,147,150.33333333333334
2024-05,160,152.16666666666666
2024-06,130,156.33333333333334
2024-07,134,149.66666666666666
2024-08,132,145
2024-09,99,133.66666666666666
2024-10,154,134.83333333333334
2024-11,123,128.66666666666666
2024-12,104,124.33333333333333
2025-01,188,133.33333333333334
2025-02,220,148
2025-03,190,163.16666666666666
2025-04,216,173.5
2025-05,229,191.16666666666666
2025-06,213,209.33333333333334
2025-07,240,218
2025-08,289,229.5
2025-09,270,242.83333333333334
2025-10,326,261.1666666666667
2025-11,345,280.5
2025-12,203,278.8333333333333
